Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,OK,2018,"12        ",Female,16,Right-Handed,169,26,168,3,Bus,28,0.708,42,Swimming,600,500,500,1000,600,700,25,"Right foot",70,75,"Ring finger",September,Fall,No,No,Meat,Tea,Art,5,7,4,"Yes - other","Text messaging",0,0,0,0,4,1,1,1,5,0,4,2,25,8,"A lot",Other,Other,Invisibility,Happy,Relative,"Education/Youth development"
USA,GA,2018,"12        ",Female,18,Left-Handed,165.1,,,1,Car,10,3,3,None,1000,1000,1000,1000,500,500,70,,150,20,,October,Fall,No,No,Meat,"Energy drink",Other,10,10,3,"Yes - other","Text messaging",1000,1000,10,0,0,0,0,3,100,100,100,50,0,0,Some,"Graduate degree",Pop,Telepathy,Happy,Other,Environment
USA,NJ,2018,"12        ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2018,"12        ",Female,17,Left-Handed,55,55,61,2,Bus,25,0.676,59,None,754,1000,1000,807,439,1000,55,"Same length",6,5,"Index finger",December,Winter,No,No,Pizza/Pasta,Water,History,8,6,7,"Yes - other","Text messaging",100,120,48,2,55,4,0,0,5,4,3,0,0,6,"A lot","Some college","Rap/Hip hop",Invisibility,Healthy,"Business person",Health
USA,CA,2018,"12        ",Female,17,Right-Handed,160,17.78,160,2,Bus,30,3.351,47,Dancing,1000,1000,1000,1000,100,50,17.78,"Same length",50.8,38.1,"Index finger",May,Winter,No,No,Pizza/Pasta,Water,English,6,10,8,"Yes - broadband connection","Text messaging",30,50,20,10,30,20,12,0,20,40,18,0,0,8,Some,"Graduate degree","Rock and roll",Fly,Happy,Politician,Environment
USA,OH,2018,"12        ",Female,17,Right-Handed,165,23,156,1,Car,3,0.589,34,Other,439,850,439,690,385,540,23,"Same length",71,70,"Index finger",April,Fall,No,No,Desserts,Water,Other,8,10,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",6,4,3,0,1,3,9,0,72,5,48,1,0,3,"Very little","Undergraduate degree",Country,Telepathy,Happy,"Community leader or elder","International aid"
USA,NH,2018,"12        ",Female,18,Right-Handed,165,24,165,1,Car,30,.29,32,Soccer,300,500,1000,1000,300,200,25,"Left foot",110,120,"Ring finger",October,Fall,Yes,No,Seafood,Water,Science,6,8,4,"Yes - other",Telephone,100,100,12,.5,20,10,4,0,1,3,2,10,20,1,"A lot","Graduate degree",Country,"Super strength",Happy,"Doctor or nurse",Health
USA,NH,2018,"12        ",Male,18,Right-Handed,180,25,183,1,Car,12,.252,39,Athletics,950,500,500,750,250,1000,27,"Left foot",76,83,"Ring finger",April,Spring,Yes,No,Meat,Water,"Mathematics and statistics",7,8,4,"Yes - other",Other,20,20,4,0,6,5,13,4,8,2,14,7,16,1,Some,"Graduate degree","Rap/Hip hop","Freeze time",Healthy,"Sports person","Education/Youth development"
USA,CA,2018,"12        ",Female,18,Right-Handed,164,21,166,2,Car,4,.351,36,Walking/Hiking,1000,1000,1000,1000,900,1000,21,"Same length",80,85,"Ring finger",July,Fall,No,No,Poultry,Water,"Social studies",6,6,4,"Yes - broadband connection","Text messaging",5,25,2,2,24,5,7,2,7,2,3,6,15,4,"A lot","Graduate degree",Other,"Freeze time",Happy,Relative,"International aid"
USA,CA,2018,"12        ",Female,17,Right-Handed,168,24,174,2,Car,7,.32,41,Athletics,900,500,900,900,100,200,24,"Same length",90,100,"Ring finger",June,Fall,No,No,Poultry,Water,English,7,8,4,"Yes - broadband connection","In person",50,200,15,3,28,1,15,0,1,6,7,0,0,1,"A lot","Graduate degree","Rhythm and blues (R&B)","Freeze time",Happy,Relative,"International aid"
USA,CA,2018,"12        ",Female,16,Right-Handed,163,26,163,1,Car,15,0.411,41,Other,1000,1000,1000,900,400,400,24,"Right foot",750,770,"Ring finger",October,Fall,No,No,"Rice/Noodle dishes",Water,Music,7,9,4,"Yes - broadband connection","Text messaging",20,50,10,1,6,5,15,0,10,6,10,4,0,2,Some,"Graduate degree","Rhythm and blues (R&B)",Invisibility,Happy,"Musician or singer",Health
USA,CO,2018,"12        ",Female,16,Right-Handed,178,24,178,1,Car,20,0.353,52,Swimming,900,900,900,900,900,900,24,"Same length",80,80,"Same length",October,Summer,No,No,Fruit,Water,"Mathematics and statistics",6,9,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",10,5,6,2,10,1,10,2,1,3,3,3,0,3,"A lot","Graduate degree",Pop,Fly,Happy,Relative,Environment
USA,MA,2018,"12        ",Male,18,Right-Handed,182.8,31,180,1,Car,25,0.42,,"Hockey (Ice)",1000,1000,1000,1000,1000,1000,30,,7,7,"Same length",November,Fall,No,No,Meat,"Sports drink","Physical education",8,5,4,"Yes - broadband connection","Internet chat or instant messaging",20,10,7,8,2,0,3,0,14,0,2,3,0,1,Some,"Some college",Country,"Freeze time",,"Sports person","Arts, culture, sports"
USA,MA,2018,"12        ",Female,17,Left-Handed,5'5,,,1,Car,7,,,None,1000,1000,1000,1000,999,999,,,,,,March,Summer,No,No,"Rice/Noodle dishes",Juice,Other,6,7,4,"Yes - other","Text messaging",110,190,70,2,.5,3,6,0,80,40,60,10,30,3,Some,"Undergraduate degree","Rap/Hip hop",Telepathy,Happy,Relative,"Arts, culture, sports"
USA,OH,2018,"12        ",Male,17,Right-Handed,183,27,186,2,Car,3,.477,32,Soccer,500,500,600,500,750,1000,26,"Right foot",80,80,"Same length",January,Summer,No,No,Poultry,Water,"Computers and technology",7,9,3,"Yes - broadband connection","Text messaging",35,35,4,1,3,2,7,10,5,2,10,1,5,3,Some,"Undergraduate degree","Rap/Hip hop",Invisibility,Rich,"Musician or singer",Health
USA,TX,2018,"12        ",Female,17,Right-Handed,158.4,91.44,158.4,3,Car,20,64,52,Other,900,800,800,500,600,700,91.44,"Same length",60,50,"Ring finger",March,Spring,Yes,No,Pizza/Pasta,Water,"Physical education",7,10,7,"No internet connection","Myspace, Facebook, other social networking sites, or blog",99999,99999,9,0,5,4,2,10,10,1,10,0,0,4,Some,"Graduate degree",Other,"Freeze time",Healthy,Friend,Health
USA,ID,2018,"12        ",Female,21,Ambidextrous,170.1,24.1,170.,3,Walk,5,38,37,Baseball/Softball,561,561,802,574,332,471,24,"Same length",6.3,6.35,"Ring finger",February,Spring,Yes,No,Meat,"Sports drink","Physical education",6.5,8,4,"Yes - broadband connection","Cell phone",25,35,25,3,,,,,,,,,,,,,,,,,
